iter	Passed	Remaining
0	0	96
1	1	58
2	1	46
3	1	37
4	1	33
5	2	31
6	2	29
7	3	36
8	3	35
9	3	34
10	4	32
11	4	31
12	4	31
13	4	30
14	5	30
15	5	30
16	6	29
17	6	28
18	6	27
19	6	27
20	7	26
21	7	25
22	7	25
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	20
31	9	20
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	16
40	11	16
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	11
54	14	11
55	14	11
56	14	11
57	14	10
58	15	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	18	5
76	19	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	22	1
94	23	1
95	23	0
96	23	0
97	23	0
98	23	0
99	24	0
