iter	Passed	Remaining
0	57	57855
1	58	29079
2	58	19487
3	58	14661
4	59	11800
5	59	9880
6	59	8503
7	60	7465
8	60	6659
9	60	6023
10	61	5499
11	61	5061
12	61	4688
13	62	4369
14	62	4090
15	62	3845
16	62	3631
17	63	3443
18	63	3276
19	63	3123
20	64	2987
21	64	2864
22	64	2751
23	65	2646
24	65	2551
25	65	2460
26	66	2379
27	66	2303
28	66	2234
29	67	2168
30	67	2104
31	67	2044
32	67	1987
33	68	1933
34	68	1888
35	68	1843
36	69	1799
37	69	1756
38	69	1715
39	69	1676
40	70	1638
41	70	1606
42	70	1572
43	70	1541
44	71	1511
45	71	1483
46	71	1455
47	72	1430
48	72	1406
49	72	1382
50	73	1360
51	73	1338
52	73	1317
53	73	1296
54	74	1276
55	74	1258
56	74	1239
57	75	1222
58	75	1204
59	75	1188
60	76	1173
61	76	1158
62	76	1143
63	77	1129
64	77	1115
65	77	1101
66	78	1089
67	78	1077
68	78	1064
69	79	1052
70	79	1040
71	79	1029
72	80	1016
73	80	1005
74	80	994
75	80	983
76	81	972
77	81	962
78	81	953
79	82	943
80	82	934
81	82	924
82	82	913
83	82	904
84	83	895
85	83	886
86	83	879
87	84	871
88	84	864
89	84	856
90	84	848
91	85	841
92	85	833
93	85	827
94	86	820
95	86	814
96	86	807
97	87	801
98	87	795
99	87	789
100	88	783
101	88	777
102	88	772
103	88	766
104	89	760
105	89	754
106	89	748
107	90	743
108	90	737
109	90	731
110	90	726
111	91	726
112	92	722
113	92	719
114	93	719
115	93	715
116	94	710
117	94	706
118	94	702
119	95	698
120	95	694
121	95	690
122	96	686
123	96	682
124	96	678
125	97	674
126	97	669
127	97	665
128	98	661
129	98	657
130	98	654
131	98	650
132	99	646
133	99	643
134	99	640
135	100	636
136	100	633
137	100	629
138	101	626
139	101	623
140	101	620
141	102	616
142	102	613
143	102	610
144	103	607
145	103	604
146	103	602
147	104	599
148	104	596
149	104	593
150	105	591
151	105	588
152	105	586
153	106	583
154	106	580
155	106	578
156	107	575
157	107	572
158	107	570
159	108	567
160	108	564
161	108	561
162	108	559
163	109	556
164	109	554
165	109	552
166	110	550
167	110	547
168	110	545
169	111	542
170	111	540
171	111	538
172	112	536
173	112	534
174	112	532
175	113	530
176	113	527
177	113	525
178	114	523
179	114	521
180	114	519
181	115	517
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	505
188	117	503
189	117	501
190	117	499
191	118	497
192	118	495
193	118	494
194	119	492
195	119	490
196	120	489
197	120	488
198	121	487
199	121	485
200	121	483
201	121	481
202	122	479
203	122	477
204	122	475
205	122	474
206	123	472
207	123	470
208	123	468
209	124	467
210	124	465
211	124	464
212	125	462
213	125	461
214	125	459
215	126	458
216	126	456
217	126	455
218	127	453
219	127	452
220	127	450
221	128	449
222	128	447
223	128	446
224	129	444
225	129	442
226	129	441
227	129	440
228	130	438
229	130	437
230	130	435
231	131	434
232	131	432
233	131	431
234	132	430
235	132	428
236	132	427
237	133	426
238	133	425
239	133	423
240	134	422
241	134	421
242	134	420
243	135	418
244	135	417
245	135	416
246	136	414
247	136	413
248	136	412
249	137	411
250	137	409
251	137	408
252	138	407
253	138	406
254	138	405
255	139	404
256	139	402
257	139	401
258	139	400
259	140	399
260	140	398
261	141	397
262	141	395
263	141	394
264	141	393
265	142	392
266	142	391
267	142	390
268	143	388
269	143	387
270	143	386
271	144	385
272	144	384
273	144	383
274	144	381
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	146	374
282	147	373
283	147	371
284	147	371
285	148	369
286	148	368
287	148	367
288	149	366
289	149	365
290	149	364
291	149	363
292	150	362
293	150	361
294	151	360
295	151	359
296	151	358
297	151	357
298	152	356
299	152	355
300	152	354
301	153	353
302	153	352
303	153	351
304	153	350
305	154	349
306	154	348
307	154	347
308	154	346
309	155	345
310	155	344
311	155	343
312	156	342
313	156	341
314	156	340
315	157	340
316	157	339
317	157	338
318	158	337
319	158	336
320	158	335
321	159	335
322	159	334
323	159	333
324	160	332
325	160	331
326	160	331
327	161	330
328	161	329
329	161	328
330	162	327
331	162	326
332	162	325
333	163	325
334	163	324
335	163	323
336	164	322
337	164	321
338	164	321
339	165	320
340	165	319
341	165	318
342	165	317
343	166	316
344	166	315
345	166	314
346	166	314
347	167	313
348	167	312
349	167	311
350	168	310
351	168	309
352	168	308
353	168	307
354	168	306
355	169	305
356	169	305
357	169	304
358	169	303
359	170	302
360	170	301
361	170	300
362	171	300
363	171	299
364	171	298
365	171	297
366	171	296
367	172	295
368	172	295
369	172	294
370	173	293
371	173	292
372	173	291
373	173	290
374	174	290
375	174	289
376	174	288
377	174	287
378	175	287
379	175	286
380	175	285
381	176	285
382	176	284
383	176	283
384	176	282
385	177	281
386	177	281
387	177	280
388	177	279
389	178	278
390	178	277
391	178	277
392	178	276
393	179	275
394	179	274
395	179	274
396	179	273
397	180	272
398	180	271
399	180	270
400	180	270
401	181	269
402	181	268
403	181	267
404	181	267
405	181	266
406	182	265
407	182	264
408	182	264
409	183	263
410	183	262
411	183	261
412	183	261
413	183	260
414	184	259
415	184	258
416	184	258
417	184	257
418	185	256
419	185	255
420	185	255
421	185	254
422	185	253
423	186	252
424	186	252
425	187	252
426	187	251
427	187	251
428	188	250
429	188	249
430	188	248
431	188	248
432	189	247
433	189	246
434	189	246
435	189	245
436	190	244
437	190	244
438	190	243
439	190	242
440	191	242
441	191	241
442	191	240
443	191	240
444	192	239
445	192	238
446	192	238
447	192	237
448	192	236
449	193	236
450	193	235
451	193	234
452	193	234
453	194	233
454	194	232
455	194	232
456	194	231
457	195	231
458	195	230
459	195	229
460	195	229
461	196	228
462	196	227
463	196	227
464	196	226
465	197	225
466	197	225
467	197	224
468	197	224
469	198	223
470	198	222
471	198	222
472	198	221
473	199	221
474	199	220
475	199	219
476	199	219
477	200	218
478	200	218
479	200	217
480	200	216
481	201	216
482	201	215
483	201	215
484	201	214
485	202	213
486	202	213
487	202	212
488	202	212
489	203	211
490	203	210
491	203	210
492	203	209
493	204	209
494	204	208
495	204	207
496	204	207
497	205	206
498	205	206
499	205	205
500	205	204
501	205	204
502	206	203
503	206	203
504	206	202
505	206	202
506	207	201
507	207	200
508	207	200
509	207	199
510	208	199
511	208	198
512	208	198
513	208	197
514	209	196
515	209	196
516	209	195
517	209	195
518	210	194
519	210	194
520	210	193
521	210	192
522	211	192
523	211	191
524	211	191
525	211	190
526	211	190
527	212	189
528	212	189
529	212	188
530	212	188
531	213	187
532	213	186
533	213	186
534	213	185
535	214	185
536	214	184
537	214	184
538	214	183
539	215	183
540	215	182
541	215	182
542	215	181
543	216	181
544	216	180
545	216	180
546	216	179
547	217	178
548	217	178
549	217	177
550	217	177
551	217	176
552	218	176
553	218	175
554	218	175
555	218	174
556	219	174
557	219	173
558	219	173
559	219	172
560	219	172
561	220	171
562	220	171
563	220	170
564	220	170
565	221	169
566	221	169
567	221	168
568	221	168
569	222	167
570	222	167
571	222	166
572	222	166
573	223	165
574	223	165
575	223	164
576	223	163
577	223	163
578	224	162
579	224	162
580	224	162
581	224	161
582	225	161
583	225	160
584	225	160
585	225	159
586	226	159
587	226	158
588	226	158
589	226	157
590	226	157
591	227	156
592	227	156
593	227	155
594	227	155
595	228	154
596	228	154
597	228	153
598	228	153
599	229	152
600	229	152
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	230	148
608	231	148
609	231	147
610	231	147
611	231	146
612	232	146
613	232	146
614	232	145
615	232	145
616	232	144
617	233	144
618	233	143
619	233	143
620	233	142
621	234	142
622	234	141
623	234	141
624	234	140
625	235	140
626	235	139
627	235	139
628	235	139
629	235	138
630	236	138
631	236	137
632	236	137
633	236	136
634	237	136
635	237	135
636	237	135
637	237	135
638	238	134
639	238	134
640	238	133
641	238	133
642	239	132
643	239	132
644	239	131
645	239	131
646	240	131
647	240	130
648	240	130
649	240	129
650	241	129
651	241	128
652	241	128
653	241	127
654	241	127
655	242	126
656	242	126
657	242	126
658	242	125
659	243	125
660	243	124
661	243	124
662	243	124
663	244	123
664	244	123
665	244	122
666	245	122
667	245	121
668	245	121
669	245	121
670	245	120
671	246	120
672	246	119
673	246	119
674	246	118
675	247	118
676	247	118
677	247	117
678	247	117
679	248	116
680	248	116
681	248	115
682	248	115
683	248	115
684	249	114
685	249	114
686	249	113
687	249	113
688	250	112
689	250	112
690	250	112
691	250	111
692	251	111
693	251	110
694	251	110
695	251	110
696	252	109
697	252	109
698	252	108
699	252	108
700	253	107
701	253	107
702	253	107
703	253	106
704	253	106
705	254	105
706	254	105
707	254	105
708	255	104
709	255	104
710	255	103
711	255	103
712	255	103
713	256	102
714	256	102
715	256	101
716	256	101
717	257	100
718	257	100
719	257	100
720	257	99
721	257	99
722	258	98
723	258	98
724	258	98
725	258	97
726	259	97
727	259	96
728	259	96
729	259	96
730	259	95
731	260	95
732	260	94
733	260	94
734	260	94
735	261	93
736	261	93
737	261	92
738	261	92
739	262	92
740	262	91
741	262	91
742	262	90
743	263	90
744	263	90
745	263	89
746	263	89
747	264	88
748	264	88
749	264	88
750	264	87
751	264	87
752	265	86
753	265	86
754	265	86
755	265	85
756	266	85
757	266	85
758	266	84
759	266	84
760	267	83
761	267	83
762	267	83
763	267	82
764	267	82
765	268	81
766	268	81
767	268	81
768	268	80
769	269	80
770	269	80
771	269	79
772	269	79
773	270	78
774	270	78
775	270	78
776	270	77
777	271	77
778	271	76
779	271	76
780	271	76
781	272	75
782	272	75
783	272	75
784	272	74
785	272	74
786	273	73
787	273	73
788	273	73
789	274	72
790	274	72
791	274	72
792	274	71
793	275	71
794	275	70
795	275	70
796	275	70
797	275	69
798	276	69
799	276	69
800	276	68
801	276	68
802	277	67
803	277	67
804	277	67
805	277	66
806	278	66
807	278	66
808	278	65
809	278	65
810	278	64
811	279	64
812	279	64
813	279	63
814	279	63
815	280	63
816	280	62
817	280	62
818	280	62
819	281	61
820	281	61
821	281	60
822	281	60
823	281	60
824	282	59
825	282	59
826	282	59
827	282	58
828	283	58
829	283	58
830	283	57
831	283	57
832	284	56
833	284	56
834	284	56
835	284	55
836	284	55
837	285	55
838	285	54
839	285	54
840	285	54
841	286	53
842	286	53
843	286	52
844	286	52
845	286	52
846	287	51
847	287	51
848	287	51
849	287	50
850	287	50
851	288	50
852	288	49
853	288	49
854	288	49
855	289	48
856	289	48
857	289	47
858	289	47
859	290	47
860	290	46
861	290	46
862	290	46
863	290	45
864	291	45
865	291	45
866	291	44
867	291	44
868	292	44
869	292	43
870	292	43
871	292	42
872	293	42
873	293	42
874	293	41
875	293	41
876	294	41
877	294	40
878	294	40
879	294	40
880	295	39
881	295	39
882	295	39
883	295	38
884	295	38
885	296	38
886	296	37
887	296	37
888	296	37
889	297	36
890	297	36
891	297	36
892	297	35
893	297	35
894	298	34
895	298	34
896	298	34
897	298	33
898	299	33
899	299	33
900	299	32
901	299	32
902	300	32
903	300	31
904	300	31
905	300	31
906	300	30
907	301	30
908	301	30
909	301	29
910	301	29
911	302	29
912	302	28
913	302	28
914	302	28
915	302	27
916	303	27
917	303	27
918	303	26
919	303	26
920	304	26
921	304	25
922	304	25
923	304	25
924	305	24
925	305	24
926	305	24
927	305	23
928	305	23
929	306	23
930	306	22
931	306	22
932	306	22
933	307	21
934	307	21
935	307	21
936	307	20
937	308	20
938	308	20
939	308	19
940	308	19
941	308	19
942	309	18
943	309	18
944	309	18
945	309	17
946	310	17
947	310	17
948	310	16
949	310	16
950	310	16
951	311	15
952	311	15
953	311	15
954	311	14
955	312	14
956	312	14
957	312	13
958	312	13
959	313	13
960	313	12
961	313	12
962	313	12
963	313	11
964	314	11
965	314	11
966	314	10
967	314	10
968	315	10
